Total Lines,Unique Lines,Load Time,Sort Time,Write Time,Total Time,Sort+Write Time,Date+Time
1,1,4.8299999798473435e-05,7.999997251317836e-07,9.239999981218716e-05,0.00014149999933579238,9.319999953731895e-05,2022-03-26T19:22:07
2,2,6.129999983386369e-05,2.0000001313746906e-06,0.00010820000006788178,0.00017150000003312015,0.00011020000019925647,2022-03-26T19:22:07
4,2,7.730000052106334e-05,2.0999994376325047e-06,0.00010240000028716167,0.0001818000002458575,0.00010449999972479418,2022-03-26T19:22:07
8,2,0.0001211000002513174,2.199999653385021e-06,0.00012940000033268007,0.0002527000002373825,0.00013159999998606508,2022-03-26T19:22:07
16,3,0.0001781999995728256,3.80000019504223e-06,0.0001283999999941443,0.00031039999976201216,0.00013220000018918654,2022-03-26T19:22:07
32,3,0.00030750000005355107,3.499999911582563e-06,0.00013349999990168725,0.0004444999998668209,0.0001369999998132698,2022-03-26T19:22:07
64,3,0.000592299999880197,3.900000046996866e-06,0.00019620000002760208,0.0007923999999547959,0.00020010000007459895,2022-03-26T19:22:07
128,3,0.001100600000245322,3.899999683198985e-06,0.00022260000023379689,0.0013271000001623178,0.00022649999991699587,2022-03-26T19:22:07
256,7,0.0022124999999505236,1.0200000178883784e-05,0.00047749999994266544,0.002700200000072073,0.00048770000012154924,2022-03-26T19:22:07
512,12,0.004294999999729043,1.7699999989417848e-05,0.0009775000002264279,0.00529019999994489,0.0009952000002158457,2022-03-26T19:22:07
1024,22,0.008627499999965949,4.1099999907601156e-05,0.0019086000005700044,0.010577200000443553,0.0019497000004776055,2022-03-26T19:22:07
2048,41,0.030544400000326277,8.980000020528678e-05,0.009626000000389467,0.04026020000092103,0.009715800000594754,2022-03-26T19:22:07
4096,71,0.03441359999978886,0.0001673000000664615,0.007474000000001979,0.0420548999998573,0.00764130000006844,2022-03-26T19:22:07
8192,137,0.06858319999973901,0.0003679999997984851,0.01526350000021921,0.08421469999975671,0.015631500000017694,2022-03-26T19:22:07
16384,278,0.1373845000000074,0.0008419000001595123,0.03064119999980903,0.16886759999997594,0.031483099999968546,2022-03-26T19:22:07
32768,640,0.2751762999994753,0.0022019000001819223,0.06102730000020529,0.3384054999998625,0.0632292000003872,2022-03-26T19:22:07
65536,1229,0.5516559000001507,0.004661099999793805,0.12154020000016316,0.6778572000001077,0.12620129999995697,2022-03-26T19:22:07
131072,2509,1.1068704000001162,0.01052449999970122,0.2462070000003223,1.3636019000001396,0.25673150000002354,2022-03-26T19:22:07
262144,4903,2.21622980000011,0.02243560000006255,0.492669499999829,2.7313349000000016,0.5151050999998915,2022-03-26T19:22:07
524288,10088,4.4462955999997575,0.049760299999616106,0.984206500000073,5.480262399999447,1.033966799999689,2022-03-26T19:22:07
1048576,20201,8.957728899999893,0.10768030000017462,1.9763763000000836,11.04178550000015,2.0840566000002583,2022-03-26T19:22:07
2097246,39631,18.30382770000015,0.22502999999996973,4.411856400000033,22.94071410000015,4.636886400000003,2022-03-26T19:22:07
4194402,66713,36.82263440000024,0.39874449999988426,8.223852699999771,45.4452315999999,8.622597199999655,2022-03-26T19:22:07
