Total Lines,Unique Lines,Load Time,Sort Time,Write Time,Total Time,Sort+Write Time,Date+Time
1,1,4.1700000656419435e-05,6.999995093792677e-07,8.570000009058276e-05,0.00012810000025638147,8.639999959996202e-05,2022-04-07T00:56:01
2,2,6.009999979141867e-05,1.700000029813964e-06,0.00011970000014116522,0.00018149999996239786,0.00012140000017097918,2022-04-07T00:53:32
4,2,6.310000026132911e-05,1.2000000424450263e-06,9.039999986271141e-05,0.00015470000016648555,9.159999990515644e-05,2022-04-07T00:40:30
8,2,0.00010970000002998858,1.4999997802078723e-06,9.840000038821017e-05,0.0002096000001984066,9.990000016841804e-05,2022-04-07T00:44:33
16,3,0.00013849999995727558,1.8000004274654201e-06,0.00010490000004210742,0.00024520000042684844,0.00010670000046957284,2022-04-07T00:56:05
32,3,0.0002339999999094289,1.9999999494757505e-06,0.00011030000041500898,0.0003463000002739136,0.00011230000036448473,2022-04-07T00:56:13
64,3,0.00044429999998101265,2.399999902991112e-06,0.0001336999999693944,0.0005803999998533982,0.00013609999987238553,2022-04-07T00:44:33
128,3,0.0008181000004697126,2.4999995730468073e-06,0.0001795000000129221,0.0010001000000556814,0.0001819999995859689,2022-04-07T00:56:00
256,7,0.0015962999998009764,5.000000055588316e-06,0.0003741999998965184,0.001975499999753083,0.0003791999999521067,2022-04-07T00:56:01
512,12,0.0031613999999535736,8.8999997387873e-06,0.0007197000002634013,0.003889999999955762,0.0007286000000021886,2022-04-07T00:40:30
1024,22,0.006264199999714037,1.8599999930302146e-05,0.0014254999996410334,0.007708299999285372,0.0014440999995713355,2022-04-07T00:45:32
2048,41,0.035998599999948054,3.770000021177111e-05,0.0060511999994560025,0.04208749999961583,0.006088899999667774,2022-04-07T00:40:30
4096,71,0.025015999999959605,6.670000002486631e-05,0.0054383000000598255,0.030521000000044297,0.005505000000084692,2022-04-07T00:56:01
8192,137,0.04993109999995795,0.00013500000004569302,0.011026100000162842,0.06109220000016649,0.011161100000208535,2022-04-07T00:56:13
16384,278,0.10009199999985867,0.000298099999781698,0.022003100000074483,0.12239319999971485,0.02230119999985618,2022-04-07T00:53:32
32768,640,0.19994599999972706,0.00076359999984561,0.04388429999999062,0.24459389999956327,0.04464789999983623,2022-04-07T00:56:05
65536,1229,0.40158599999995204,0.001564200000029814,0.08732390000004671,0.49047410000002856,0.08888810000007652,2022-04-07T00:56:12
131072,2509,0.8048001000004661,0.003475599999910628,0.17488200000007054,0.9831577000004472,0.17835759999998116,2022-04-07T00:56:28
262144,4903,1.6112300999999207,0.007243500000004133,0.34886680000035997,1.967340400000285,0.3561103000003641,2022-04-07T00:54:02
524288,10088,3.2094943000003697,0.015918100000089908,0.6980961000001116,3.9235085000005716,0.7140142000002014,2022-04-07T00:45:32
1048576,20201,6.464589400000113,0.03414680000023509,1.4076419000000897,7.906378100000437,1.4417887000003249,2022-04-07T00:56:00
2097246,39631,12.97309639999985,0.07096290000008594,3.0982558999998218,16.142315199999757,3.1692187999999075,2022-04-07T00:44:33
4194402,66713,26.064754899999933,0.1255383999994592,5.713761300000442,31.904054599999835,5.839299699999901,2022-04-07T00:53:30
