Total Lines,Unique Lines,Load Time,Sort Time,Write Time,Total Time,Sort+Write Time,Date+Time
1,1,4.9600000056670976e-05,1.7000002117129043e-06,0.00010089999977935804,0.00015220000004774193,0.00010259999999107094,2022-03-26T19:44:38
2,2,5.940000010014046e-05,2.5000003006425685e-06,0.00010399999991932418,0.00016590000032010722,0.00010650000021996676,2022-03-26T19:44:38
4,2,7.630000036442652e-05,2.3999995391932315e-06,0.00010970000002998858,0.00018839999993360834,0.00011209999956918182,2022-03-26T19:44:38
8,2,0.00011020000001735753,2.199999835283961e-06,0.0001224999999976717,0.0002348999998503132,0.00012469999983295567,2022-03-26T19:44:38
16,3,0.00017649999990680952,3.3999998777289874e-06,0.00012960000003658934,0.0003094999998211279,0.00013299999991431833,2022-03-26T19:44:38
32,3,0.00030320000005303884,3.2999996619764715e-06,0.00014269999992393422,0.00044919999963894953,0.0001459999995859107,2022-03-26T19:44:38
64,3,0.0005913000000873581,4.199999784759711e-06,0.0001853000001574401,0.0007808000000295579,0.0001894999999421998,2022-03-26T19:44:38
128,3,0.0010920000000623985,3.4000004234258085e-06,0.00023429999982909066,0.001329700000314915,0.00023770000025251646,2022-03-26T19:44:38
256,7,0.002145799999743758,8.49999996717088e-06,0.00048559999995632095,0.0026398999996672503,0.0004940999999234918,2022-03-26T19:44:38
512,12,0.0043303000000378235,2.0399999993969686e-05,0.0009788999999727822,0.005329600000004575,0.000999299999966752,2022-03-26T19:44:38
1024,22,0.008661499999652733,5.560000026889611e-05,0.0019473000002108165,0.010664400000132445,0.002002900000479713,2022-03-26T19:44:38
2048,41,0.03207470000070316,0.00010000000002037268,0.010085099999923842,0.04225980000064737,0.010185099999944214,2022-03-26T19:44:38
4096,71,0.03410249999978987,0.00018199999976786785,0.0075428000001920735,0.04182729999974981,0.007724799999959941,2022-03-26T19:44:38
8192,137,0.0679074000003311,0.0003815999996731989,0.015277799999785202,0.08356679999978951,0.015659399999458402,2022-03-26T19:44:38
16384,278,0.1359284000000116,0.0009329999998954009,0.030637900000147055,0.16749930000005406,0.03157090000004246,2022-03-26T19:44:38
32768,640,0.272943000000123,0.0025858000000880564,0.060988699999506936,0.33651749999971803,0.063574499999595,2022-03-26T19:44:38
65536,1229,0.5478745000000345,0.0054013999997550854,0.12133769999982177,0.6746135999996113,0.12673909999957686,2022-03-26T19:44:38
131072,2509,1.096249699999862,0.012109100000270701,0.24644960000005084,1.3548084000001837,0.25855870000032155,2022-03-26T19:44:38
262144,4903,2.1981856999997036,0.02570080000023154,0.49141680000011545,2.7153033000000506,0.517117600000347,2022-03-26T19:44:38
524288,10088,4.431188499999735,0.05697379999983241,0.9890918999995847,5.477254199999152,1.0460656999994171,2022-03-26T19:44:38
1048576,20201,8.891925999999694,0.12237589999986084,1.9819378000000143,10.99623969999957,2.1043136999998753,2022-03-26T19:44:38
2097246,39631,18.23684889999968,0.25537270000022544,4.408075599999757,22.900297199999663,4.663448299999982,2022-03-26T19:44:38
4194402,66713,36.59013170000035,0.4402329999998983,8.227201400000194,45.257566100000446,8.667434400000092,2022-03-26T19:44:38
