Total Lines,Unique Lines,Load Time,Sort Time,Write Time,Total Time,Sort+Write Time,Date+Time
1,1,4.0499999522580764e-05,1.5000003259046935e-06,8.849999976519029e-05,0.00013049999961367575,9.000000009109498e-05,2022-04-07T00:24:15
2,2,4.940000017086277e-05,1.6999998479150236e-06,9.04000002265093e-05,0.0001415000002452871,9.210000007442432e-05,2022-04-07T00:21:47
4,2,6.429999993997625e-05,1.7000002117129043e-06,9.349999982077861e-05,0.00015949999997246777,9.520000003249152e-05,2022-04-07T00:08:49
8,2,9.820000013860408e-05,1.900000097521115e-06,9.279999994760146e-05,0.00019290000018372665,9.470000004512258e-05,2022-04-07T00:12:51
16,3,0.00013940000008005882,2.199999835283961e-06,0.00010300000012648524,0.000244600000041828,0.00010519999996176921,2022-04-07T00:24:18
32,3,0.00023719999990134966,2.099999983329326e-06,0.00011610000001383014,0.0003553999998985091,0.00011819999999715947,2022-04-07T00:24:26
64,3,0.00045980000068084336,2.399999902991112e-06,0.00015169999987847406,0.0006139000004623085,0.00015409999978146518,2022-04-07T00:12:51
128,3,0.0008163999998942017,2.1000001652282664e-06,0.00017769999976735562,0.0009961999998267857,0.00017979999993258388,2022-04-07T00:24:14
256,7,0.0016315000002578017,4.699999772128649e-06,0.00040630000021337767,0.002042500000243308,0.0004109999999855063,2022-04-07T00:24:15
512,12,0.0031413000004249627,9.499999760009813e-06,0.0007196000000476488,0.003870400000232621,0.0007290999998076586,2022-04-07T00:08:49
1024,22,0.0061480999998821066,2.660000027390197e-05,0.0013855000001058216,0.00756020000026183,0.0014121000003797235,2022-04-07T00:13:50
2048,41,0.03597139999965293,5.690000016329577e-05,0.007296099999803118,0.043324399999619345,0.007352999999966414,2022-04-07T00:08:49
4096,71,0.024885600000015985,9.340000015072292e-05,0.0053915000004053585,0.030370500000572065,0.005484900000556081,2022-04-07T00:24:15
8192,137,0.04952909999992698,0.0001880000001619919,0.010873400000127731,0.0605905000002167,0.011061400000289724,2022-04-07T00:24:26
16384,278,0.09823439999945549,0.0004193999999188236,0.02146889999985433,0.12012269999922864,0.021888299999773153,2022-04-07T00:21:47
32768,640,0.1975070999998934,0.0011988000000201283,0.04310139999979583,0.24180729999970935,0.04430019999981596,2022-04-07T00:24:18
65536,1229,0.3976833999995506,0.0025052999999388703,0.08573239999968792,0.4859210999991774,0.08823769999962679,2022-04-07T00:24:25
131072,2509,0.8010549999999057,0.005493100000057894,0.17193879999977071,0.9784868999997343,0.1774318999998286,2022-04-07T00:24:41
262144,4903,1.5991721999997026,0.011246899999969173,0.34388250000029075,1.9543015999999624,0.35512940000025994,2022-04-07T00:22:16
524288,10088,3.2005378000003475,0.02458069999993313,0.6889372999999978,3.9140558000002783,0.7135179999999309,2022-04-07T00:13:50
1048576,20201,6.423043300000063,0.05217790000006062,1.3866915999997218,7.861912799999845,1.4388694999997824,2022-04-07T00:24:14
2097246,39631,13.000852300000043,0.10785720000003493,3.0604487000004155,16.169158200000492,3.1683059000004503,2022-04-07T00:12:51
4194402,66713,25.8098489,0.17853529999993042,5.640225299999838,31.628609499999765,5.818760599999769,2022-04-07T00:21:45
