Total Lines,Unique Lines,Load Time,Sort Time,Write Time,Total Time,Sort+Write Time,Date+Time
1,1,4.6199999997043054e-05,1.7999996998696589e-06,0.00010430000020278385,0.00015229999989969657,0.0001060999999026535,2022-04-07T01:11:51
2,2,4.980000012437813e-05,1.5999996321625076e-06,9.54000002820976e-05,0.00014680000003863825,9.699999991426011e-05,2022-04-07T01:09:24
4,2,6.169999978737906e-05,1.4000001101521774e-06,8.959999977378174e-05,0.00015269999967131297,9.099999988393392e-05,2022-04-07T00:56:28
8,2,0.0001231000000188942,1.5000001440057532e-06,0.00010070000025734771,0.00022530000042024766,0.00010220000040135346,2022-04-07T01:00:29
16,3,0.00014019999998708953,1.700000029813964e-06,0.0001028999997288338,0.0002447999997457373,0.00010459999975864775,2022-04-07T01:11:55
32,3,0.0002336999999897671,1.8000006093643607e-06,0.00011669999967125477,0.00035220000027038625,0.00011850000028061912,2022-04-07T01:12:03
64,3,0.00043679999980668073,1.7000003936118446e-06,0.00013019999951211503,0.0005686999997124076,0.00013189999990572687,2022-04-07T01:00:29
128,3,0.0008112999999866588,1.6999998479150236e-06,0.00017380000008415664,0.0009867999999187305,0.00017549999993207165,2022-04-07T01:11:51
256,7,0.0016089999999167048,2.400000266788993e-06,0.00041039999978238485,0.0020217999999658787,0.00041280000004917383,2022-04-07T01:11:51
512,12,0.0031318999999712105,3.0000002880115064e-06,0.0007305000000997098,0.0038654000003589314,0.0007335000003877213,2022-04-07T00:56:28
1024,22,0.006260099999963131,5.700000110664405e-06,0.0014145000001008156,0.007680300000174611,0.00142020000021148,2022-04-07T01:01:28
2048,41,0.034237199999552104,1.7100000150094274e-05,0.007358000000022002,0.0416122999997242,0.007375100000172097,2022-04-07T00:56:28
4096,71,0.0244870999997147,3.619999970396748e-05,0.00541960000009567,0.029942899999514338,0.005455799999799638,2022-04-07T01:11:51
8192,137,0.049341300000378396,7.7699999565084e-05,0.011060900000120454,0.06047990000006394,0.011138599999685538,2022-04-07T01:12:03
16384,278,0.09828020000004471,0.0001893999999083462,0.021843599999920117,0.12031319999987317,0.022032999999828464,2022-04-07T01:09:24
32768,640,0.1972116000000824,0.0005328999999619555,0.04383529999995517,0.2415797999999995,0.044368199999917125,2022-04-07T01:11:55
65536,1229,0.39784600000002684,0.001186500000221713,0.08749900000002526,0.4865315000002738,0.08868550000024698,2022-04-07T01:12:02
131072,2509,0.795415200000025,0.002756999999837717,0.1748685000002297,0.9730407000000924,0.1776255000000674,2022-04-07T01:12:18
262144,4903,1.5930785000002288,0.006050899999900139,0.3488208000000668,1.9479502000001956,0.354871699999967,2022-04-07T01:09:53
524288,10088,3.197811499999807,0.013760999999794877,0.6991166000001613,3.910689099999763,0.7128775999999561,2022-04-07T01:01:28
1048576,20201,6.405520000000069,0.030234200000631973,1.4087652000000161,7.844519400000718,1.438999400000648,2022-04-07T01:11:51
2097246,39631,12.91250319999981,0.06516410000003817,3.094369500000357,16.072036800000205,3.1595336000003953,2022-04-07T01:00:29
4194402,66713,25.77087300000003,0.11909529999993537,5.714560699999856,31.604528999999822,5.833655999999792,2022-04-07T01:09:22
